fitness,nSol,minMoves,stop
25,2,27,8.093350172042847
27,1,28,72.62816596031189
20,2,22,12.779903888702393
24,3,27,83.43612027168274
28,2,30,14.033206939697266
23,2,25,170.75811791419983
23,1,24,24.437040090560913
22,1,23,5.0497119426727295
24,1,25,10.671774625778198
23,2,25,53.2464861869812
23,2,25,28.27536630630493
20,4,24,5.495831251144409
22,2,24,26.29476308822632
22,1,23,9.524584770202637
23,1,24,44.98802375793457
21,3,24,5.829897165298462
23,1,24,15.442380428314209
21,1,22,11.023348569869995
23,2,25,24.280672311782837
19,5,24,20.21593403816223
21,1,22,6.449010372161865
24,1,25,6.245674133300781
24,2,26,11.135274410247803
21,2,23,3.8898112773895264
24,1,25,10.122379302978516
23,2,25,3.6019368171691895
21,1,22,3.6902847290039062
19,1,20,10.787123918533325
24,1,25,15.074214458465576
22,3,25,3.809922456741333
23,2,25,12.877566814422607
25,2,27,16.650711059570312
25,1,26,10.271941900253296
20,1,21,6.705427169799805
23,1,24,32.49954009056091
19,1,20,1.139789342880249
27,1,28,25.590403079986572
23,1,24,15.386595487594604
21,2,23,14.277743577957153
22,2,24,4.186014175415039
21,1,22,13.715026378631592
24,1,25,73.24708318710327
22,1,23,5.824931621551514
20,1,21,6.8656840324401855
23,1,24,6.088382959365845
22,2,24,9.835962057113647
20,3,23,3.9208521842956543
23,1,24,20.588087558746338
19,2,21,9.880027532577515
22,2,24,29.138573169708252
19,4,23,5.611339330673218
18,3,21,3.2784247398376465
22,3,25,13.156250953674316
21,2,23,6.316905975341797
23,1,24,10.306906461715698
27,2,29,44.25673294067383
20,1,21,6.955915451049805
24,1,25,8.461099863052368
18,2,20,3.3706536293029785
21,1,22,3.160836696624756
25,1,26,5.001579999923706
18,3,21,8.489704132080078
24,1,25,15.54789113998413
22,4,26,18.116400957107544
25,1,26,19.054237604141235
21,1,22,15.444985151290894
24,1,25,54.850468158721924
22,2,24,22.342421293258667
23,2,25,19.385709524154663
28,2,30,12.120952844619751
25,2,27,26.847711086273193
22,1,23,15.701292037963867
23,5,28,14.361434698104858
25,2,27,4.661877155303955
25,1,26,33.522260665893555
22,2,24,3.53580641746521
23,1,24,12.541256427764893
19,2,21,6.31111741065979
23,3,26,56.51655578613281
20,4,24,76.08458995819092
25,2,27,6.313440322875977
24,1,25,49.89658784866333
18,3,21,3.51552152633667
21,2,23,20.824769496917725
18,2,20,3.0967342853546143
19,1,20,3.5335748195648193
23,2,25,76.86481761932373
17,3,20,2.434051752090454
23,1,24,5.955632209777832
23,1,24,34.39438009262085
21,1,22,13.297180652618408
25,3,28,15.198269367218018
27,1,28,4.385102987289429
23,1,24,30.667567014694214
18,4,22,9.68075156211853
20,3,23,8.781395435333252
23,2,25,50.06505012512207
19,3,22,12.971829891204834
21,1,22,77.9259889125824
24,1,25,11.43014144897461
25,1,26,27.33505916595459
20,5,25,13.307844638824463
21,3,24,17.112370252609253
23,2,25,42.917564153671265
21,1,22,33.48635983467102
21,2,23,17.3051438331604
22,1,23,11.18657398223877
20,5,25,9.146824598312378
27,1,28,9.691048622131348
20,1,21,5.7228052616119385
25,1,26,3.561209201812744
23,3,26,18.283312559127808
23,2,25,3.6652469635009766
21,3,24,8.707950115203857
26,2,28,10.123986005783081
23,1,24,38.77824831008911
22,2,24,17.039343118667603
25,1,26,43.9543719291687
19,2,21,6.851848602294922
23,1,24,30.40682601928711
23,1,24,4.121075868606567
23,3,26,35.42196083068848
23,1,24,5.270694732666016
21,2,23,20.976155757904053
23,1,24,9.464998960494995
24,1,25,3.2426164150238037
23,1,24,4.729469060897827
21,1,22,5.338680744171143
23,1,24,37.65540647506714
19,1,20,3.022768497467041
21,2,23,18.482084035873413
24,1,25,42.88679218292236
20,3,23,23.035247325897217
22,1,23,7.9156153202056885
22,2,24,44.39799380302429
20,2,22,73.2136378288269
26,2,28,43.29396724700928
25,2,27,6.261394739151001
20,2,22,9.221530675888062
19,2,21,15.623513221740723
20,3,23,26.165445804595947
18,3,21,4.430522918701172
19,3,22,17.21836805343628
22,4,26,30.621625900268555
23,2,25,89.35074496269226
22,2,24,11.500404119491577
23,2,25,25.648868560791016
23,1,24,6.032948732376099
26,1,27,13.72274374961853
22,1,23,29.065521240234375
23,2,25,62.57858991622925
18,3,21,7.999886751174927
21,1,22,15.943978309631348
21,2,23,5.004415988922119
19,2,21,4.1607279777526855
20,2,22,4.0725038051605225
22,2,24,28.820563554763794
21,3,24,51.014082193374634
24,1,25,44.89344096183777
22,2,24,19.165483713150024
20,3,23,17.463188409805298
25,1,26,25.835557460784912
20,2,22,24.588080406188965
21,2,23,3.205538749694824
23,2,25,10.518090724945068
25,2,27,8.530842781066895
21,1,22,139.44677114486694
22,2,24,4.965975522994995
17,3,20,7.412316560745239
21,2,23,3.5281896591186523
21,3,24,7.469895601272583
24,1,25,28.44803023338318
24,1,25,21.300757884979248
22,1,23,11.94013524055481
20,2,22,25.576984882354736
25,2,27,62.73573660850525
22,2,24,21.209479570388794
20,2,22,16.30611300468445
24,1,25,110.27738118171692
20,1,21,2.662431240081787
24,3,27,31.12179183959961
20,3,23,21.452428102493286
25,1,26,20.589051246643066
21,3,24,9.078866720199585
19,1,20,5.81359338760376
22,1,23,4.517526865005493
26,1,27,7.789972305297852
20,2,22,10.24455213546753
26,1,27,5.43192720413208
25,2,27,8.73574423789978
20,2,22,22.178494215011597
20,3,23,11.0967435836792
21,1,22,25.726821422576904
24,2,26,23.880863189697266
22,2,24,6.260625839233398
22,2,24,23.241743564605713
21,2,23,87.28683710098267
22,3,25,21.29550290107727
18,2,20,5.363909959793091
24,1,25,27.765949964523315
