 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 13) (4, 1) (14, 13) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (5, 6) (9, 8) (13, 14) 
 14 (5, 6) (9, 8) (13, 14) 
 14 (5, 6) (9, 8) (13, 14) 
 14 (8, 8) (6, 6) (14, 14) 
 14 (8, 8) (6, 6) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
 14 (10, 10) (4, 4) (14, 14) 
